Loaded COCO training data with 118287 samples.
Use load_from_local loader
Model loaded. Beginning run
2021:11:04 22:12:43:    0.008% complete
2021:11:05 00:35:00:    0.406% complete
2021:11:05 00:38:06:    0.414% complete
2021:11:05 00:41:10:    0.423% complete
2021:11:05 00:44:11:    0.431% complete
2021:11:05 00:47:09:    0.44% complete
2021:11:05 00:50:13:    0.448% complete
2021:11:05 00:53:17:    0.457% complete
2021:11:05 00:56:11:    0.465% complete
2021:11:05 00:59:10:    0.473% complete
2021:11:05 01:02:11:    0.482% complete
2021:11:05 01:05:11:    0.49% complete
2021:11:05 01:08:15:    0.499% complete
2021:11:05 01:11:17:    0.507% complete
2021:11:05 01:14:19:    0.516% complete
2021:11:05 01:17:21:    0.524% complete
2021:11:05 01:20:22:    0.533% complete
2021:11:05 01:23:28:    0.541% complete
2021:11:05 01:26:29:    0.55% complete
2021:11:05 01:29:30:    0.558% complete
2021:11:05 01:32:36:    0.566% complete
2021:11:05 01:35:38:    0.575% complete
2021:11:05 01:38:39:    0.583% complete
2021:11:05 01:41:43:    0.592% complete
2021:11:05 01:44:47:    0.6% complete
2021:11:05 01:47:52:    0.609% complete
2021:11:05 01:50:55:    0.617% complete
2021:11:05 01:53:54:    0.626% complete
2021:11:05 01:56:55:    0.634% complete
2021:11:05 02:00:00:    0.643% complete
2021:11:05 02:03:05:    0.651% complete
2021:11:05 02:06:10:    0.659% complete
2021:11:05 02:09:14:    0.668% complete
2021:11:05 02:12:16:    0.676% complete
2021:11:05 02:15:17:    0.685% complete
2021:11:05 02:18:20:    0.693% complete
2021:11:05 02:21:25:    0.702% complete
2021:11:05 02:24:29:    0.71% complete
2021:11:05 02:27:34:    0.719% complete
2021:11:05 02:30:37:    0.727% complete
2021:11:05 02:33:43:    0.735% complete
2021:11:05 02:36:49:    0.744% complete
2021:11:05 02:39:54:    0.752% complete
2021:11:05 02:42:59:    0.761% complete
2021:11:05 02:46:05:    0.769% complete
2021:11:05 02:49:13:    0.778% complete
2021:11:05 02:52:15:    0.786% complete
2021:11:05 02:55:18:    0.795% complete
2021:11:05 02:58:23:    0.803% complete
2021:11:05 03:01:30:    0.812% complete
2021:11:05 03:04:38:    0.82% complete
2021:11:05 03:07:43:    0.828% complete
2021:11:05 03:10:52:    0.837% complete
2021:11:05 03:13:57:    0.845% complete
2021:11:05 03:17:03:    0.854% complete
2021:11:05 03:20:09:    0.862% complete
2021:11:05 03:23:18:    0.871% complete
2021:11:05 03:26:27:    0.879% complete
2021:11:05 03:29:34:    0.888% complete
2021:11:05 03:32:41:    0.896% complete
2021:11:05 03:35:47:    0.905% complete
2021:11:05 03:38:54:    0.913% complete
2021:11:05 03:42:00:    0.921% complete
2021:11:05 03:45:05:    0.93% complete
2021:11:05 03:48:15:    0.938% complete
2021:11:05 03:51:22:    0.947% complete
2021:11:05 03:54:24:    0.955% complete
2021:11:05 03:57:27:    0.964% complete
2021:11:05 04:00:33:    0.972% complete
2021:11:05 04:03:37:    0.981% complete
2021:11:05 04:06:43:    0.989% complete
2021:11:05 04:09:50:    0.998% complete
/home/showalte/.conda/envs/cvenv/lib/python3.7/site-packages/mmdet/datasets/utils.py:69: UserWarning: "ImageToTensor" pipeline is replaced by "DefaultFormatBundle" for batch inference. It is recommended to manually replace it in the test data pipeline in your config file.
  'data pipeline in your config file.', UserWarning)
/home/showalte/.conda/envs/cvenv/lib/python3.7/site-packages/mmdet/core/bbox/coder/delta_xywh_bbox_coder.py:103: UserWarning: DeprecationWarning: onnx_delta2bbox is deprecated in the case of batch decoding and non-ONNX, please use \u201cdelta2bbox\u201d instead. In order to improve the decoding speed, the batch function will no longer be supported. 
  'DeprecationWarning: onnx_delta2bbox is deprecated '
